id,published,title,authors,paperId
http://arxiv.org/abs/2304.02642v1,2023-04-05T17:59:32Z,"Taming Encoder for Zero Fine-tuning Image Customization with
  Text-to-Image Diffusion Models","['Xuhui Jia', 'Yang Zhao', 'Kelvin C. K. Chan', 'Yandong Li', 'Han Zhang', 'Boqing Gong', 'Tingbo Hou', 'Huisheng Wang', 'Yu-Chuan Su']",arXiv:2304.02642
http://arxiv.org/abs/2304.02192v1,2023-04-05T02:13:42Z,A Diffusion-based Method for Multi-turn Compositional Image Generation,"['Chao Wang', 'Xiaoyu Yang', 'Jinmiao Huang', 'Kevin Ferreira']",arXiv:2304.02192
http://arxiv.org/abs/2304.02051v1,2023-04-04T18:03:04Z,"Multimodal Garment Designer: Human-Centric Latent Diffusion Models for
  Fashion Image Editing","['Alberto Baldrati', 'Davide Morelli', 'Giuseppe Cartella', 'Marcella Cornia', 'Marco Bertini', 'Rita Cucchiara']",arXiv:2304.02051
http://arxiv.org/abs/2304.01994v2,2023-04-04T17:52:49Z,"Waving Goodbye to Low-Res: A Diffusion-Wavelet Approach for Image
  Super-Resolution","['Brian Moser', 'Stanislav Frolov', 'Federico Raue', 'Sebastian Palacio', 'Andreas Dengel']",arXiv:2304.01994
http://arxiv.org/abs/2304.01900v1,2023-04-04T15:49:01Z,"PODIA-3D: Domain Adaptation of 3D Generative Model Across Large Domain
  Gap Using Pose-Preserved Text-to-Image Diffusion","['Gwanghyun Kim', 'Ji Ha Jang', 'Se Young Chun']",arXiv:2304.01900
http://arxiv.org/abs/2304.01888v1,2023-04-04T15:41:11Z,"Quantitative perfusion and water transport time model from multi b-value
  diffusion magnetic resonance imaging validated against neutron capture
  microspheres","['M. Liu', 'N. Saadat', 'Y. Jeong', 'S. Roth', 'M. Niekrasz', 'M. Giurcanu', 'T. Carroll', 'G. Christoforidis']",arXiv:2304.01888
http://arxiv.org/abs/2304.01247v1,2023-04-03T16:52:43Z,Generative Diffusion Prior for Unified Image Restoration and Enhancement,"['Ben Fei', 'Zhaoyang Lyu', 'Liang Pan', 'Junzhe Zhang', 'Weidong Yang', 'Tianyue Luo', 'Bo Zhang', 'Bo Dai']",arXiv:2304.01247
http://arxiv.org/abs/2304.01053v1,2023-04-03T15:00:06Z,"ViT-DAE: Transformer-driven Diffusion Autoencoder for Histopathology
  Image Analysis","['Xuan Xu', 'Saarthak Kapse', 'Rajarsi Gupta', 'Prateek Prasanna']",arXiv:2304.01053
http://arxiv.org/abs/2303.17905v1,2023-03-31T09:03:18Z,3D-aware Image Generation using 2D Diffusion Models,"['Jianfeng Xiang', 'Jiaolong Yang', 'Binbin Huang', 'Xin Tong']",arXiv:2303.17905
http://arxiv.org/abs/2303.17599v1,2023-03-30T17:59:25Z,Zero-Shot Video Editing Using Off-The-Shelf Image Diffusion Models,"['Wen Wang', 'Kangyang Xie', 'Zide Liu', 'Hao Chen', 'Yue Cao', 'Xinlong Wang', 'Chunhua Shen']",arXiv:2303.17599
http://arxiv.org/abs/2303.17591v1,2023-03-30T17:58:11Z,Forget-Me-Not: Learning to Forget in Text-to-Image Diffusion Models,"['Eric Zhang', 'Kai Wang', 'Xingqian Xu', 'Zhangyang Wang', 'Humphrey Shi']",arXiv:2303.17591
http://arxiv.org/abs/2303.17546v1,2023-03-30T17:13:56Z,"PAIR-Diffusion: Object-Level Image Editing with Structure-and-Appearance
  Paired Diffusion Models","['Vidit Goel', 'Elia Peruzzo', 'Yifan Jiang', 'Dejia Xu', 'Nicu Sebe', 'Trevor Darrell', 'Zhangyang Wang', 'Humphrey Shi']",arXiv:2303.17546
http://arxiv.org/abs/2303.17189v1,2023-03-30T06:56:12Z,"LayoutDiffusion: Controllable Diffusion Model for Layout-to-image
  Generation","['Guangcong Zheng', 'Xianpan Zhou', 'Xuewei Li', 'Zhongang Qi', 'Ying Shan', 'Xi Li']",arXiv:2303.17189
http://arxiv.org/abs/2303.17155v1,2023-03-30T05:25:20Z,Discriminative Class Tokens for Text-to-Image Diffusion Models,"['Idan Schwartz', 'Vésteinn Snæbjarnarson', 'Sagie Benaim', 'Hila Chefer', 'Ryan Cotterell', 'Lior Wolf', 'Serge Belongie']",arXiv:2303.17155
http://arxiv.org/abs/2303.16765v2,2023-03-29T14:57:54Z,"MDP: A Generalized Framework for Text-Guided Image Editing by
  Manipulating the Diffusion Path","['Qian Wang', 'Biao Zhang', 'Michael Birsak', 'Peter Wonka']",arXiv:2303.16765
http://arxiv.org/abs/2303.16509v1,2023-03-29T07:35:56Z,HOLODIFFUSION: Training a 3D Diffusion Model using 2D Images,"['Animesh Karnewar', 'Andrea Vedaldi', 'David Novotny', 'Niloy Mitra']",arXiv:2303.16509
http://arxiv.org/abs/2303.16112v1,2023-03-28T16:26:39Z,"Cellular EXchange Imaging (CEXI): Evaluation of a diffusion model
  including water exchange in cells using numerical phantoms of permeable
  spheres","['Rémy Gardier', 'Juan Luis Villarreal Haro', 'Erick J. Canales-Rodriguez', 'Ileana O. Jelescu', 'Gabriel Girard', 'Jonathan Rafael-Patino', 'Jean-Philippe Thiran']",arXiv:2303.16112
http://arxiv.org/abs/2303.15770v1,2023-03-28T07:13:11Z,"DDMM-Synth: A Denoising Diffusion Model for Cross-modal Medical Image
  Synthesis with Sparse-view Measurement Embedding","['Xiaoyue Li', 'Kai Shang', 'Gaoang Wang', 'Mark D. Butala']",arXiv:2303.15770
http://arxiv.org/abs/2303.15288v1,2023-03-27T15:10:19Z,Diffusion Models for Memory-efficient Processing of 3D Medical Images,"['Florentin Bieder', 'Julia Wolleb', 'Alicia Durrer', 'Robin Sandkühler', 'Philippe C. Cattin']",arXiv:2303.15288
http://arxiv.org/abs/2303.15233v1,2023-03-27T14:15:17Z,Text-to-Image Diffusion Models are Zero-Shot Classifiers,"['Kevin Clark', 'Priyank Jaini']",arXiv:2303.15233
http://arxiv.org/abs/2303.14389v1,2023-03-25T07:47:21Z,Masked Diffusion Transformer is a Strong Image Synthesizer,"['Shanghua Gao', 'Pan Zhou', 'Ming-Ming Cheng', 'Shuicheng Yan']",arXiv:2303.14389
http://arxiv.org/abs/2303.14184v2,2023-03-24T17:54:22Z,"Make-It-3D: High-Fidelity 3D Creation from A Single Image with Diffusion
  Prior","['Junshu Tang', 'Tengfei Wang', 'Bo Zhang', 'Ting Zhang', 'Ran Yi', 'Lizhuang Ma', 'Dong Chen']",arXiv:2303.14184
http://arxiv.org/abs/2303.14139v1,2023-03-24T16:41:42Z,"MindDiffuser: Controlled Image Reconstruction from Human Brain Activity
  with Semantic and Structural Diffusion","['Yizhuo Lu', 'Changde Du', 'Dianpeng Wang', 'Huiguang He']",arXiv:2303.14139
http://arxiv.org/abs/2303.13744v1,2023-03-24T01:54:26Z,Conditional Image-to-Video Generation with Latent Flow Diffusion Models,"['Haomiao Ni', 'Changhao Shi', 'Kai Li', 'Sharon X. Huang', 'Martin Renqiang Min']",arXiv:2303.13744
http://arxiv.org/abs/2303.13610v1,2023-03-23T18:50:18Z,"Artificial-intelligence-based molecular classification of diffuse
  gliomas using rapid, label-free optical imaging","['Todd C. Hollon', 'Cheng Jiang', 'Asadur Chowdury', 'Mustafa Nasir-Moin', 'Akhil Kondepudi', 'Alexander Aabedi', 'Arjun Adapa', 'Wajd Al-Holou', 'Jason Heth', 'Oren Sagher', 'Pedro Lowenstein', 'Maria Castro', 'Lisa Irina Wadiura', 'Georg Widhalm', 'Volker Neuschmelting', 'David Reinecke', 'Niklas von Spreckelsen', 'Mitchel S. Berger', 'Shawn L. Hervey-Jumper', 'John G. Golfinos', 'Matija Snuderl', 'Sandra Camelo-Piragua', 'Christian Freudiger', 'Honglak Lee', 'Daniel A. Orringer']",arXiv:2303.13610
http://arxiv.org/abs/2303.13516v1,2023-03-23T17:59:42Z,Ablating Concepts in Text-to-Image Diffusion Models,"['Nupur Kumari', 'Bingliang Zhang', 'Sheng-Yu Wang', 'Eli Shechtman', 'Richard Zhang', 'Jun-Yan Zhu']",arXiv:2303.13516
http://arxiv.org/abs/2303.13495v1,2023-03-23T17:56:10Z,ReVersion: Diffusion-Based Relation Inversion from Images,"['Ziqi Huang', 'Tianxing Wu', 'Yuming Jiang', 'Kelvin C. K. Chan', 'Ziwei Liu']",arXiv:2303.13495
http://arxiv.org/abs/2303.13439v1,2023-03-23T17:01:59Z,"Text2Video-Zero: Text-to-Image Diffusion Models are Zero-Shot Video
  Generators","['Levon Khachatryan', 'Andranik Movsisyan', 'Vahram Tadevosyan', 'Roberto Henschel', 'Zhangyang Wang', 'Shant Navasardyan', 'Humphrey Shi']",arXiv:2303.13439
http://arxiv.org/abs/2303.13430v1,2023-03-23T16:50:19Z,"Medical diffusion on a budget: textual inversion for medical image
  generation","['Bram de Wilde', 'Anindo Saha', 'Richard P. G. ten Broek', 'Henkjan Huisman']",arXiv:2303.13430
http://arxiv.org/abs/2303.13285v1,2023-03-23T14:08:00Z,"Fourier Diffusion Models: A Method to Control MTF and NPS in Score-Based
  Stochastic Image Generation","['Matthew Tivnan', 'Jacopo Teneggi', 'Tzu-Cheng Lee', 'Ruoqiao Zhang', 'Kirsten Boedeker', 'Liang Cai', 'Grace J. Gang', 'Jeremias Sulam', 'J. Webster Stayman']",arXiv:2303.13285
http://arxiv.org/abs/2303.13126v2,2023-03-23T09:30:39Z,"MagicFusion: Boosting Text-to-Image Generation Performance by Fusing
  Diffusion Models","['Jing Zhao', 'Heliang Zheng', 'Chaoyue Wang', 'Long Lan', 'Wenjing Yang']",arXiv:2303.13126
http://arxiv.org/abs/2303.12688v1,2023-03-22T16:36:10Z,Pix2Video: Video Editing using Image Diffusion,"['Duygu Ceylan', 'Chun-Hao Paul Huang', 'Niloy J. Mitra']",arXiv:2303.12688
http://arxiv.org/abs/2303.12343v1,2023-03-22T06:55:01Z,LD-ZNet: A Latent Diffusion Approach for Text-Based Image Segmentation,"['Koutilya Pnvr', 'Bharat Singh', 'Pallabi Ghosh', 'Behjat Siddiquie', 'David Jacobs']",arXiv:2303.12343
http://arxiv.org/abs/2303.11916v1,2023-03-21T15:06:35Z,CompoDiff: Versatile Composed Image Retrieval With Latent Diffusion,"['Geonmo Gu', 'Sanghyuk Chun', 'Wonjae Kim', 'HeeJae Jun', 'Yoohoon Kang', 'Sangdoo Yun']",arXiv:2303.11916
http://arxiv.org/abs/2303.11681v1,2023-03-21T08:43:15Z,"DiffuMask: Synthesizing Images with Pixel-level Annotations for Semantic
  Segmentation Using Diffusion Models","['Weijia Wu', 'Yuzhong Zhao', 'Mike Zheng Shou', 'Hong Zhou', 'Chunhua Shen']",arXiv:2303.11681
http://arxiv.org/abs/2303.11477v1,2023-03-20T22:16:03Z,"NASDM: Nuclei-Aware Semantic Histopathology Image Generation Using
  Diffusion Models","['Aman Shrivastava', 'P. Thomas Fletcher']",arXiv:2303.11477
http://arxiv.org/abs/2303.11435v2,2023-03-20T20:28:17Z,"Inversion by Direct Iteration: An Alternative to Denoising Diffusion for
  Image Restoration","['Mauricio Delbracio', 'Peyman Milanfar']",arXiv:2303.11435
http://arxiv.org/abs/2303.11306v1,2023-03-20T17:45:08Z,"Localizing Object-level Shape Variations with Text-to-Image Diffusion
  Models","['Or Patashnik', 'Daniel Garibi', 'Idan Azuri', 'Hadar Averbuch-Elor', 'Daniel Cohen-Or']",arXiv:2303.11306
http://arxiv.org/abs/2303.10610v2,2023-03-19T09:15:45Z,"DiffMIC: Dual-Guidance Diffusion Network for Medical Image
  Classification","['Yijun Yang', 'Huazhu Fu', 'Angelica I. Aviles-Rivero', 'Carola-Bibiane Schönlieb', 'Lei Zhu']",arXiv:2303.10610
http://arxiv.org/abs/2303.09642v2,2023-03-16T20:42:24Z,"SUD$^2$: Supervision by Denoising Diffusion Models for Image
  Reconstruction","['Matthew A. Chan', 'Sean I. Young', 'Christopher A. Metzler']",arXiv:2303.09642
http://arxiv.org/abs/2303.09627v1,2023-03-16T20:06:55Z,Denoising Diffusion Post-Processing for Low-Light Image Enhancement,"['Savvas Panagiotou', 'Anna S. Bosman']",arXiv:2303.09627
http://arxiv.org/abs/2303.09472v1,2023-03-16T16:47:14Z,DiffIR: Efficient Diffusion Model for Image Restoration,"['Bin Xia', 'Yulun Zhang', 'Shiyin Wang', 'Yitong Wang', 'Xinglong Wu', 'Yapeng Tian', 'Wenming Yang', 'Luc Van Gool']",arXiv:2303.09472
http://arxiv.org/abs/2303.09319v1,2023-03-16T13:50:20Z,"Unified Multi-Modal Latent Diffusion for Joint Subject and Text
  Conditional Image Generation","['Yiyang Ma', 'Huan Yang', 'Wenjing Wang', 'Jianlong Fu', 'Jiaying Liu']",arXiv:2303.09319
http://arxiv.org/abs/2303.09295v1,2023-03-16T13:15:03Z,DIRE for Diffusion-Generated Image Detection,"['Zhendong Wang', 'Jianmin Bao', 'Wengang Zhou', 'Weilun Wang', 'Hezhen Hu', 'Hong Chen', 'Houqiang Li']",arXiv:2303.09295
